GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
money-tranfser,com.revolut.transfers.account.domain.exceptions,NegativeAmountOfMoneyException,0,11,0,0,0,2,0,1,0,1
money-tranfser,com.revolut.transfers.account.domain.exceptions,AccountNotFoundException,11,0,0,0,2,0,1,0,1,0
money-tranfser,com.revolut.transfers.account.domain.exceptions,TransferBetweenSameAccountException,0,11,0,0,0,2,0,1,0,1
money-tranfser,com.revolut.transfers.account.domain.exceptions,MontetaryAmountRequiresConversionException,0,19,0,0,0,2,0,1,0,1
money-tranfser,com.revolut.transfers.account.domain.exceptions,NotEnoghFoundException,0,19,0,0,0,2,0,1,0,1
money-tranfser,com.revolut.transfers.account.infrastructure,TransactionalTransferService,0,65,0,0,0,14,0,11,0,11
money-tranfser,com.revolut.transfers.account.infrastructure,HibernateAccountRepository,0,63,0,0,0,17,0,7,0,7
money-tranfser,com.revolut.transfers.account.infrastructure,TransferController.CreateAccountDTO,0,26,0,0,0,9,0,4,0,4
money-tranfser,com.revolut.transfers.account.infrastructure,TransactionUtil,14,33,0,0,6,17,1,2,1,2
money-tranfser,com.revolut.transfers.account.infrastructure,TransferController,0,95,0,2,0,21,0,6,0,5
money-tranfser,com.revolut.transfers,App,23,85,0,0,5,22,2,9,2,9
money-tranfser,com.revolut.transfers.account.config,EntityManagerProvider,0,77,0,2,0,19,0,4,0,3
money-tranfser,com.revolut.transfers.account.config,TransfersConfig,0,65,0,0,0,15,0,6,0,6
money-tranfser,com.revolut.transfers.account.config.typeconverters,AccountIdGsonTypeConverter,0,14,0,0,0,3,0,3,0,3
money-tranfser,com.revolut.transfers.account.config.typeconverters,MoneyGsonTypeConverter,0,33,0,0,0,7,0,3,0,3
money-tranfser,com.revolut.transfers.account.config.typeconverters,CreateAccountDTOGsonTypeConverter,23,36,0,2,4,8,2,3,2,2
money-tranfser,com.revolut.transfers.account.config.typeconverters,CurrencyGsonTypeConverter,6,9,0,0,1,2,1,2,1,2
money-tranfser,com.revolut.transfers.account.domain,TransferServiceImpl,20,125,0,2,0,31,4,8,4,7
money-tranfser,com.revolut.transfers.account.domain,Account,24,159,6,12,1,37,7,14,1,11
money-tranfser,com.revolut.transfers.account.domain,AccountId,13,55,3,3,1,14,4,7,1,7
money-tranfser,com.revolut.transfers.account.domain,Entry,33,49,5,5,7,13,10,3,5,3
